Model,ACC (%),FPR (%),MRR,Norm_ACC,Norm_FPR,Norm_MRR
Maximum40,98.2,1.8,0.37,0.982,0.5142857142857143,1.0
Concat40,98.1,1.9,0.353,0.981,0.5428571428571428,0.9715719063545151
WgtAv40,98.0,2.1,0.295,0.98,0.6,0.8745819397993312
Multiply40,97.6,2.3,0.205,0.976,0.6571428571428571,0.7240802675585285
WgtAv20,97.5,2.5,0.179,0.975,0.7142857142857143,0.6806020066889633
Multiply20,97.3,2.7,0.079,0.973,0.7714285714285715,0.5133779264214047
Minimum40,97.2,2.6,0.055,0.972,0.7428571428571429,0.4732441471571907
Shallow40,96.1,3.2,0.043,0.961,0.9142857142857144,0.45317725752508364
Deep40,97.9,2.4,0.021,0.9790000000000001,0.6857142857142857,0.41638795986622074
Minimum20,96.8,2.9,-0.045,0.968,0.8285714285714285,0.3060200668896321
Subtract40,97.0,2.8,-0.054,0.97,0.7999999999999999,0.29096989966555187
Deep20,97.4,2.8,-0.101,0.9740000000000001,0.7999999999999999,0.21237458193979936
Shallow20,95.2,3.5,-0.111,0.9520000000000001,1.0,0.1956521739130435
Subtract20,96.5,3.1,-0.145,0.965,0.8857142857142858,0.13879598662207362
Concat20,95.2,2.0,-0.15,0.9520000000000001,0.5714285714285714,0.13043478260869568
Maximum20,94.1,2.2,-0.228,0.941,0.6285714285714287,0.0
